Kanji;Strokes;"On within Joyo";"Kun within Joyo"
戦;13;sen;"ikusa, tataka(u)"
煎;13;sen;i(ru)
羨;13;sen;"uraya(mu), uraya(mashii)"
腺;13;sen;-
詮;13;sen;-
践;13;sen;-
箋;14;sen;-
銭;14;sen;zeni
潜;15;sen;"hiso(mu), mogu(ru)"
線;15;sen;-
遷;15;sen;-
選;15;sen;era(bu)
薦;16;sen;susu(meru)
繊;17;sen;-
鮮;17;sen;aza(yaka)
全;6;zen;"matta(ku), sube(te)"
前;9;zen;mae
善;12;zen;yo(i)
然;12;"zen, 	nen";-
禅;13;zen;-
漸;14;zen;-
膳;16;zen;-
繕;18;zen;tsukuro(u)
狙;8;so;nera(u)
阻;8;so;haba(mu)
祖;9;so;-
租;10;so;-
素;10;"so, 	su";-
措;11;so;-
粗;11;so;ara(i)
組;11;so;"ku(mu), kumi"
疎;12;so;"uto(i), uto(mu)"
訴;12;so;utta(eru)
塑;13;so;-
遡;14;so;sakanobo(ru)
礎;18;so;ishizue
双;4;soo;futa
壮;6;soo;-
早;6;"soo, [saQ]";"haya(i), haya(maru), haya(meru)"
争;6;soo;araso(u)
走;7;soo;hashi(ru)
奏;9;soo;kana(deru)
相;9;"soo, 	shoo";ai
荘;9;soo;-
草;9;soo;kusa
送;9;soo;oku(ru)
倉;10;soo;kura
捜;10;soo;saga(su)
挿;10;soo;sa(su)
桑;10;soo;kuwa
巣;11;soo;su
掃;11;soo;ha(ku)
曹;11;soo;-
曽;11;"soo, [zo]";-
爽;11;soo;sawa(yaka)
窓;11;soo;mado
創;12;soo;tsuku(ru)
喪;12;soo;mo
痩;12;soo;ya(seru)
葬;12;soo;hoomu(ru)
装;12;"soo, 	shoo";yosoo(u)
僧;13;soo;-
想;13;"soo, [so]";-
層;14;soo;-
総;14;soo;-
遭;14;soo;a(u)
槽;15;soo;-
踪;15;soo;-
操;16;soo;"misao, ayatsu(ru)"
燥;17;soo;-
霜;17;soo;shimo
騒;18;soo;sawa(gu)
藻;19;soo;mo
造;10;zoo;tsuku(ru)
像;14;zoo;-
